"nom de l'enseigne";"date de l'export";"code de l'article";"libellé de l'article";"référence de la marque";"code EAN";"nom de la marque";"prix net HT du client dans l'agence";"prix public HT";"total ecocontribution HT";"disponibilité";"unité de vente (par m², ...)";"libellé unité de vente (par m², ...)";"conditionnement (par m², ...)";"libellé conditionnement (par m², ...)";"code nomenclature niv. 1";"libellé nomenclature niv. 1";"code nomenclature niv. 2";"libellé nomenclature niv. 2";"code nomenclature niv. 3";"libellé nomenclature niv. 3";"code nomenclature niv. 4";"libellé nomenclature niv. 4";"code nomenclature niv. 5";"libellé nomenclature niv. 5"
"dispano";"20211005";"1954198";"Contreplaqué résineux Laudio pine âme et faces Pin Radiata européen II/III collage CL3 usage ext. et milieu humide 300x150 cm 45mm";"050100815";"";"GARNICA";"54.32";"67.82";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1821197";"Contreplaqué résineux Laudio pine âme et faces Pin Radiata européen II/III collage CL3 usage ext. et milieu humide 250x125 cm 40 mm";"050100065";"";"GARNICA";"37.73";"47.1";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"7394964";"Contreplaqué résineux Laudio déco âme et faces Pin Radiata européen I/III collage CL3 usage ext. et milieu humide 250X125cm 30mm";"460100022";"";"GARNICA";"31.49";"39.31";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1954187";"Contreplaqué résineux Laudio pine âme et faces Pin Radiata européen II/III collage CL3 usage ext. et milieu humide 300x150 cm 12mm";"";"";"GARNICA";"12.58";"15.71";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1849008";"Contreplaqué résineux Tebopin Elite âme et faces Pin Maritime I/II collage CL3 certif CTB-X usage ext. et milieu humide 250x125cm 21mm";"5125012521003";"";"THEBAULT SIB";"23.78";"28.11";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1821196";"Contreplaqué résineux Laudio pine âme et faces Pin Radiata européen II/III collage CL3 usage ext. et milieu humide 250x125 cm 30 mm";"050100022";"";"GARNICA";"25.56";"31.91";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"7394956";"Contreplaqué résineux Laudio déco âme et faces Pin Radiata européen I/III collage CL3 usage ext. et milieu humide 250X125cm 9mm";"460100016";"";"GARNICA";"9.90";"12.36";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1954190";"Contreplaqué résineux Laudio pine âme et faces Pin Radiata européen II/III collage CL3 usage ext. et milieu humide 300x150 cm 18mm";"050100401";"";"GARNICA";"18.33";"22.88";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1954196";"Contreplaqué résineux Laudio pine âme et faces Pin Radiata européen II/III collage CL3 usage ext. et milieu humide 300x150 cm 40mm";"050100814";"";"GARNICA";"46.38";"57.9";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1821198";"Contreplaqué résineux Laudio pine âme et faces Pin Radiata européen II/III collage CL3 usage ext. et milieu humide 250x125 cm 21mm";"050100007";"";"GARNICA";"15.85";"19.79";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1954194";"Contreplaqué résineux Laudio pine âme et faces Pin Radiata européen II/III collage CL3 usage ext. et milieu humide 300x150 cm 27mm";"";"";"GARNICA";"27.68";"34.56";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1629900";"Contreplaqué Spruce épicéa qualité II/III poncé extérieur collage WBP 250x125cm 9mm, certifié PEFC 70%";"221437";"3450742917840";"NORSILK";"10.22";"12.77";"0";"EN STOCK";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1849035";"Contreplaqué Tebopin 3 pin maritime extérieur collage CTBX 250x125cm 21mm, certifié PEFC 70%";"5325012521001";"";"THEBAULT SIB";"17.25";"21.52";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1934416";"Contreplaqué résineux Laudio pine âme et faces Pin Radiata européen II/III collage CL3 usage ext. et milieu humide 250x125 cm 24mm";"050100014";"";"GARNICA";"20.01";"24.98";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1832103";"Contreplaqué Spruce épicéa qualité II/III poncé extérieur collage WBP 250x125cm 24mm, certifié PEFC 70%";"221214";"3450742917246";"NORSILK";"23.60";"29.45";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
